Definiciones 
Indicador Público de Renta de Efectos Múltiples
Sirve de referencia para temas de la seguridad social

-------- IPREM actual -------
año,  IPREM mensual,    IPREM anual,    IPREM anual (14 pagas)
2015, 532.51 €,         6.390.13 €,     7.455.14 €
2016, 532.51 €,         6.390.13 €,     7.455.14 €
2017, 537.84 €,         6.454.03 €,     7.519.59 €
2018, 537.84 €,         6.454.03 €,     7.519.59 €
2019, 537.84 €,         6.454.03 €,     7.519.59 €
2020, 537.84 €,         6.454.03 €,     7.519.59 €
2021, 564.90 €,         6.778.80 €,     7.908.60 €
2022, 579.02 €,         6.948.24 €,     8.106.28 €
2023, 600 €,            7.200 €,        8.400 €

















