1, PENELOPE, guiness2, 2024-04-19
2, NICK, WAHLBERG, 2006-02-15
3, ED, CHASE, 2006-02-15
4, JENNIFER, DAVIS, 2006-02-15
5, JOHNNY, LOLLOBRIGIDA, 2006-02-15
6, BETTE, NICHOLSON, 2006-02-15
7, GRACE, MOSTEL, 2006-02-15
8, MATTHEW, JOHANSSON, 2006-02-15
9, JOE, SWANK, 2006-02-15
10, CHRISTIAN, GABLE, 2006-02-15
11, ZERO, CAGE, 2006-02-15
12, KARL, BERRY, 2006-02-15
13, UMA, WOOD, 2006-02-15
14, VIVIEN, BERGEN, 2006-02-15
15, CUBA, OLIVIER, 2006-02-15
16, FRED, COSTNER, 2006-02-15
17, HELEN, VOIGHT, 2006-02-15
18, DAN, TORN, 2006-02-15
19, BOB, FAWCETT, 2006-02-15
20, LUCILLE, TRACY, 2006-02-15
21, KIRSTEN, PALTROW, 2006-02-15
22, ELVIS, MARX, 2006-02-15
23, SANDRA, KILMER, 2006-02-15
24, CAMERON, STREEP, 2006-02-15
25, KEVIN, BLOOM, 2006-02-15
26, RIP, CRAWFORD, 2006-02-15
27, JULIA, MCQUEEN, 2006-02-15
28, WOODY, HOFFMAN, 2006-02-15
29, ALEC, WAYNE, 2006-02-15
30, SANDRA, PECK, 2006-02-15
31, SISSY, SOBIESKI, 2006-02-15
32, TIM, HACKMAN, 2006-02-15
33, MILLA, PECK, 2006-02-15
34, AUDREY, OLIVIER, 2006-02-15
35, JUDY, DEAN, 2006-02-15
36, BURT, DUKAKIS, 2006-02-15
37, VAL, BOLGER, 2006-02-15
38, TOM, MCKELLEN, 2006-02-15
39, GOLDIE, BRODY, 2006-02-15
40, JOHNNY, CAGE, 2006-02-15
41, JODIE, DEGENERES, 2006-02-15
42, TOM, MIRANDA, 2006-02-15
43, KIRK, JOVOVICH, 2006-02-15
44, NICK, STALLONE, 2006-02-15
45, REESE, KILMER, 2006-02-15
46, PARKER, GOLDBERG, 2006-02-15
47, JULIA, BARRYMORE, 2006-02-15
48, FRANCES, DAY-LEWIS, 2006-02-15
49, ANNE, CRONYN, 2006-02-15
50, NATALIE, HOPKINS, 2006-02-15
51, GARY, PHOENIX, 2006-02-15
52, CARMEN, HUNT, 2006-02-15
53, MENA, TEMPLE, 2006-02-15
54, PENELOPE, PINKETT, 2006-02-15
55, FAY, KILMER, 2006-02-15
56, DAN, HARRIS, 2006-02-15
57, JUDE, CRUISE, 2006-02-15
58, CHRISTIAN, AKROYD, 2006-02-15
59, DUSTIN, TAUTOU, 2006-02-15
60, HENRY, BERRY, 2006-02-15
61, CHRISTIAN, NEESON, 2006-02-15
62, JAYNE, NEESON, 2006-02-15
63, CAMERON, WRAY, 2006-02-15
64, RAY, JOHANSSON, 2006-02-15
65, ANGELA, HUDSON, 2006-02-15
66, MARY, TANDY, 2006-02-15
